V1,V2,V3
11400,27630,63570
10500,50940,64440
13110,21420,50430
10110,35430,82620
7920,30600,79110
11940,37950,37020
10590,58260,29070
8190,49320,51540
11610,16200,68040
9060,17490,57000
11010,27420,78600
9960,30930,53340
6450,52620,30810
9390,29430,81210
10410,45300,18420
9900,31560,47520
8580,32790,82080
9630,25080,77970
12450,27810,85140
11160,74910,98700
7770,53760,52050
10020,61200,69120
13110,18600,57330
9240,25740,147150
10170,31410,111660
9360,22980,79320
8580,29880,39150
10320,36270,36180
13410,34260,70320
9390,60720,97230
11760,31380,142290
7170,30480,60750
7350,46890,73140
12780,43380,52050
11100,27210,59010
12720,21030,38220
9870,14820,81030
9270,22470,60390
10470,27270,54990
8040,26970,101550
12690,22560,104670
7830,30150,46110
12420,53610,85770
10260,27720,51510
10530,48360,32730
12270,42600,80760
14640,34410,93270
8250,68220,31470
10050,15540,20580
13110,36690,32940
8820,47310,96420
10440,37140,111930
8970,55260,30270
8520,60420,72540
10590,33630,59820
10530,43740,39870
10290,37080,94350
9540,22680,43350
12630,31050,118200
8400,36570,89130
10170,39840,83520
8400,33180,92670
11250,26640,68550
8490,23160,139740
10020,24720,111810
11760,48690,30570
8760,25080,60690
10140,40890,93030
9180,30450,104130
9060,48000,52500
8640,32730,46590
12600,35790,112470
8490,24390,59790
8910,31950,86940
8190,48510,106170
12480,50700,37590
8070,38670,133560
8760,75090,109740
10470,24390,86370
8250,29100,83100
10800,57360,52290
4890,46080,37020
11310,11610,98220
9270,48450,83700
8490,36810,103170
9390,25860,99960
8580,57090,57180
12510,22470,92070
8610,36960,49530
11100,44370,78750
10950,36990,59550
8640,41880,74970
8730,40650,35640
9330,46140,78210
9840,17820,80550
7860,44040,89970
8220,41490,87900
9180,58380,38070
10170,55170,34890
10350,28920,68610
8910,29070,56580
9540,41430,67800
10740,28080,88470
9630,45180,153480
11040,31260,40350
10410,27360,94110
8220,23250,138120
8910,25470,73470
7290,43500,40950
12150,27750,56970
8910,31320,87780
12270,21360,50460
9690,48180,80910
7560,24690,94260
9540,24180,129360
7740,48900,68850
11880,27090,99270
8670,23730,92910
15090,40260,76320
5940,42810,96720
8910,18450,70440
9750,30270,73800
8730,31650,55470
11550,30780,39450
9120,30720,65070
9510,63510,157770
13350,39000,91170
12060,38850,40290
11430,56880,53640
8250,54120,30270
8460,27510,78030
10800,31260,52980
8280,33540,74370
12480,52110,73470
9150,61320,50310
8730,33360,75360
8310,24270,52290
9330,81990,68370
9720,38220,62790
11880,35940,78150
16080,32400,47790
9990,20220,65700
10650,40230,45540
10680,30060,24360
10350,35160,44280
7740,37170,75510
9900,40650,65820
9330,35850,52500
8100,31350,82500
9390,32910,42870
8010,93600,91020
12840,31980,71970
7110,76230,82650
9990,45030,40470
9390,27810,59850
12060,45210,126240
7950,39660,59220
8040,22110,56130
6930,22770,77010
7410,34890,88800
9180,23550,127560
8820,26970,84510
9420,33960,68340
10800,35880,53400
